date_start_time,date_end_time,task1,task2,section,session_num,randomY
2017-12-31T16:48:59,2017-12-31T19:45:05,crochet,crochet,border,34,242.5
2017-12-31T09:56:17,2017-12-31T10:23:31,crochet,crochet,border,33,76.25
2017-12-30T21:03:35,2017-12-31T00:08:35,crochet,crochet,section-2,32,242.5
2017-12-30T18:10:46,2017-12-30T20:10:03,crochet,crochet,section-2,31,76.25
2017-12-30T10:59:48,2017-12-30T14:00:37,crochet,crochet,section-2,30,85
2017-12-26T20:51:49,2017-12-26T22:20:06,crochet,crochet,section-2,29,303.75
2017-12-26T20:15:08,2017-12-26T20:51:40,crochet,crochet,section-1,28,356.25
2017-12-26T13:26:23,2017-12-26T15:00:00,crochet,crochet,section-1,27,93.75
2017-12-25T21:27:33,2017-12-25T22:30:22,crochet,crochet,section-1,26,146.25
2017-12-22T16:30:15,2017-12-22T18:00:42,crochet,crochet,section-1,25,76.25
2017-12-17T09:05:41,2017-12-17T10:58:12,crochet,crochet,section-1,24,277.5
2017-12-16T17:11:00,2017-12-16T17:40:00,crochet,crochet,section-1,23,365
2017-12-16T14:43:21,2017-12-16T16:22:27,crochet,crochet,section-1,22,120
2017-12-15T22:58:23,2017-12-15T23:28:02,crochet,crochet,section-1,21,76.25
2017-12-15T21:19:33,2017-12-15T22:58:15,crochet,crochet,section-2,20,356.25
2017-12-15T12:48:29,2017-12-15T14:06:36,crochet,crochet,section-2,19,137.5
2017-12-15T10:25:00,2017-12-15T12:12:07,crochet,crochet,section-2,18,216.25
2017-12-10T14:36:16,2017-12-10T14:51:24,crochet,crochet,section-2,17,233.75
2017-12-10T13:28:19,2017-12-10T14:36:07,crochet,crochet,section-1,16,67.5
2017-12-09T21:55:08,2017-12-09T22:19:37,crochet,crochet,section-1,15,155.00000000000003
2017-12-03T14:33:41,2017-12-03T19:36:00,crochet,crochet,section-1,14,391.25
2017-12-03T10:13:32,2017-12-03T14:32:55,crochet,crochet,section-1,13,58.75
2017-12-02T18:09:06,2017-12-02T22:47:01,crochet,crochet,section-1,12,128.75
2017-12-02T16:29:32,2017-12-02T17:58:56,crochet,crochet,section-2,11,303.75
2017-12-01T22:10:46,2017-12-01T23:03:10,crochet,crochet,section-2,10,190
2017-12-01T19:23:00,2017-12-01T21:23:00,crochet,crochet,section-2,9,225
2017-11-30T20:42:57,2017-11-30T21:43:13,crochet,crochet,section-1,8,295
2017-11-26T21:56:41,2017-11-26T22:24:22,crochet,crochet,section-1,7,312.5
2017-11-26T16:32:16,2017-11-26T18:08:36,crochet,crochet,section-1,6,251.25
2017-11-23T21:32:23,2017-11-23T23:52:00,crochet,crochet,section-1,5,277.5
2017-11-23T14:16:17,2017-11-23T14:35:00,crochet,crochet,section-1,4,373.75
2017-11-23T08:00:32,2017-11-23T11:10:00,crochet,crochet,section-1,3,277.5
2017-11-22T21:17:00,2017-11-22T22:24:00,crochet,crochet,section-1,2,102.5
2017-10-16T00:00:00,2017-10-16T24:00:00,crochet,crochet,section-1,1,102.1